activity_id,customer_id,lead_id,activity_date,activity_type,channel,owner,outcome,duration_minutes
ACT-00001,CUST-0090,,2026-02-19,Meeting,In-person,Chi Le,Completed,60
ACT-00002,,LEAD-0606,2025-09-01,Meeting,Chat,Binh Tran,Rescheduled,30
ACT-00003,,LEAD-0069,2025-12-29,Meeting,Email,Khanh Do,Follow-up Needed,60
ACT-00004,CUST-0110,,2025-04-23,Call,Chat,Linh Vu,Follow-up Needed,45
ACT-00005,,LEAD-0109,2024-04-01,Demo,Phone,Chi Le,Interested,60
ACT-00006,CUST-0133,,2024-04-07,WhatsApp,Phone,Dung Pham,Completed,20
ACT-00007,,LEAD-0115,2024-03-26,Demo,Phone,Giang Ho,Rescheduled,45
ACT-00008,CUST-0037,,2025-07-13,Demo,Zoom,Giang Ho,No Response,15
ACT-00009,,LEAD-0463,2024-12-30,WhatsApp,Chat,Dung Pham,Interested,20
ACT-00010,,LEAD-0383,2025-03-24,Call,Chat,Chi Le,Completed,10
ACT-00011,CUST-0024,,2025-03-04,Demo,Zoom,Linh Vu,Interested,15
ACT-00012,,LEAD-0390,2025-07-30,Call,Zoom,Khanh Do,Completed,60
ACT-00013,CUST-0081,,2025-06-07,Demo,Chat,Giang Ho,Follow-up Needed,45
ACT-00014,CUST-0287,,2025-05-31,Email,In-person,Khanh Do,Interested,20
ACT-00015,CUST-0026,,2024-09-30,Call,Chat,Huy Vo,Completed,10
ACT-00016,CUST-0046,,2026-03-20,WhatsApp,In-person,Binh Tran,Completed,5
ACT-00017,CUST-0283,,2025-10-19,Email,Email,Linh Vu,Completed,10
ACT-00018,CUST-0194,,2024-12-28,Call,In-person,Khanh Do,Completed,60
ACT-00019,CUST-0310,,2025-03-07,Support Follow-up,Zoom,Khanh Do,Completed,10
ACT-00020,,LEAD-0627,2025-03-15,Call,Zoom,Linh Vu,No Response,15
ACT-00021,CUST-0006,,2024-06-05,WhatsApp,Zoom,Binh Tran,Completed,10
ACT-00022,,LEAD-0365,2025-08-16,Email,In-person,Giang Ho,No Response,10
ACT-00023,CUST-0294,,2026-03-19,Email,Zoom,Khanh Do,No Response,10
ACT-00024,CUST-0224,,2024-05-20,Meeting,In-person,Linh Vu,Completed,45
ACT-00025,CUST-0295,,2024-03-10,Demo,Phone,Binh Tran,Completed,10
ACT-00026,CUST-0058,,2025-08-23,Support Follow-up,Email,Huy Vo,Interested,10
ACT-00027,,LEAD-0210,2026-01-01,Demo,Phone,Dung Pham,Completed,60
ACT-00028,CUST-0001,,2024-12-15,Email,Email,An Nguyen,Follow-up Needed,15
ACT-00029,CUST-0049,,2025-02-14,Meeting,Phone,Chi Le,Completed,20
ACT-00030,,LEAD-0508,2024-05-28,Meeting,Phone,Binh Tran,No Response,60
ACT-00031,CUST-0099,,2025-12-14,Meeting,Zoom,An Nguyen,Follow-up Needed,30
ACT-00032,CUST-0033,,2025-04-26,Support Follow-up,In-person,Binh Tran,Follow-up Needed,10
ACT-00033,,LEAD-0609,2025-07-05,WhatsApp,Chat,An Nguyen,No Response,5
ACT-00034,,LEAD-0473,2025-07-18,Email,Phone,Giang Ho,Completed,15
ACT-00035,CUST-0054,,2026-03-17,Email,Zoom,Chi Le,Follow-up Needed,20
ACT-00036,,LEAD-0560,2025-03-08,WhatsApp,Chat,Dung Pham,Interested,20
ACT-00037,CUST-0282,,2025-03-26,Meeting,Chat,Khanh Do,Interested,60
ACT-00038,,LEAD-0093,2024-12-01,Meeting,Chat,Giang Ho,Rescheduled,60
ACT-00039,CUST-0064,,2025-09-20,Email,Chat,Chi Le,Completed,20
ACT-00040,,LEAD-0253,2025-12-14,Demo,Phone,Huy Vo,Completed,30
ACT-00041,CUST-0032,,2024-08-20,WhatsApp,Chat,Khanh Do,Completed,15
ACT-00042,CUST-0065,,2024-04-12,WhatsApp,Chat,Giang Ho,Completed,5
ACT-00043,CUST-0004,,2024-02-20,Call,Chat,Giang Ho,Follow-up Needed,20
ACT-00044,CUST-0298,,2024-09-13,Email,Phone,Giang Ho,Rescheduled,20
ACT-00045,CUST-0141,,2026-03-15,Support Follow-up,Chat,Khanh Do,No Response,20
ACT-00046,CUST-0224,,2024-09-25,Email,Phone,Giang Ho,Completed,15
ACT-00047,CUST-0227,,2024-12-14,WhatsApp,Phone,Linh Vu,Follow-up Needed,15
ACT-00048,,LEAD-0227,2024-07-15,WhatsApp,Chat,An Nguyen,No Response,10
ACT-00049,,LEAD-0379,2024-09-21,Demo,In-person,Chi Le,Follow-up Needed,15
ACT-00050,,LEAD-0345,2025-12-18,Meeting,Phone,Binh Tran,Completed,20
ACT-00051,CUST-0178,,2024-08-22,Call,Phone,Khanh Do,Completed,15
ACT-00052,CUST-0078,,2024-10-28,Email,In-person,Khanh Do,Rescheduled,20
ACT-00053,CUST-0243,,2024-11-14,Demo,Email,Huy Vo,Interested,30
ACT-00054,CUST-0041,,2024-06-30,Meeting,Phone,Binh Tran,Completed,45
ACT-00055,,LEAD-0258,2025-06-30,WhatsApp,In-person,An Nguyen,Completed,5
ACT-00056,CUST-0302,,2025-06-12,Demo,In-person,Linh Vu,Rescheduled,15
ACT-00057,CUST-0041,,2024-06-26,WhatsApp,Chat,Huy Vo,No Response,5
ACT-00058,,LEAD-0280,2025-04-01,Email,In-person,Giang Ho,Follow-up Needed,20
ACT-00059,CUST-0057,,2024-06-17,Call,Email,Giang Ho,Completed,30
ACT-00060,CUST-0221,,2024-12-20,Support Follow-up,Chat,Khanh Do,Follow-up Needed,5
ACT-00061,CUST-0180,,2025-10-12,Email,Zoom,Giang Ho,Rescheduled,10
ACT-00062,CUST-0064,,2025-11-18,WhatsApp,Email,Huy Vo,Follow-up Needed,15
ACT-00063,,LEAD-0275,2024-02-18,Call,In-person,Giang Ho,Completed,20
ACT-00064,CUST-0240,,2024-12-12,Support Follow-up,Email,Dung Pham,Follow-up Needed,5
ACT-00065,CUST-0100,,2024-06-06,Support Follow-up,In-person,Giang Ho,Follow-up Needed,20
ACT-00066,CUST-0318,,2026-01-21,Call,In-person,Linh Vu,Follow-up Needed,30
ACT-00067,,LEAD-0249,2025-11-11,Meeting,Email,Linh Vu,Completed,15
ACT-00068,,LEAD-0569,2025-07-05,Demo,Email,Binh Tran,Follow-up Needed,20
ACT-00069,,LEAD-0556,2024-03-03,Call,Chat,Khanh Do,Rescheduled,10
ACT-00070,CUST-0100,,2024-02-03,Demo,Chat,Dung Pham,Completed,45
ACT-00071,CUST-0075,,2024-09-30,WhatsApp,Email,Huy Vo,Follow-up Needed,15
ACT-00072,CUST-0054,,2025-06-11,Call,In-person,Linh Vu,No Response,20
ACT-00073,CUST-0035,,2025-03-11,Meeting,Email,Giang Ho,Completed,60
ACT-00074,,LEAD-0268,2024-09-25,Demo,Phone,Dung Pham,Follow-up Needed,20
ACT-00075,CUST-0244,,2025-09-09,WhatsApp,Email,Linh Vu,Interested,5
ACT-00076,CUST-0165,,2024-09-03,Support Follow-up,Chat,Binh Tran,Completed,20
ACT-00077,,LEAD-0525,2025-11-07,Meeting,Chat,Khanh Do,Follow-up Needed,45
ACT-00078,CUST-0301,,2025-06-24,WhatsApp,Email,An Nguyen,Completed,15
ACT-00079,CUST-0069,,2025-05-05,Call,Zoom,Linh Vu,Interested,20
ACT-00080,CUST-0019,,2026-04-09,Call,Chat,Khanh Do,Interested,15
ACT-00081,CUST-0105,,2025-07-24,Support Follow-up,Email,Linh Vu,Completed,10
ACT-00082,CUST-0053,,2024-06-03,Call,Chat,Linh Vu,Completed,15
ACT-00083,,LEAD-0581,2024-08-03,Email,Chat,An Nguyen,Interested,10
ACT-00084,CUST-0063,,2024-02-15,Call,Phone,Chi Le,Completed,10
ACT-00085,CUST-0268,,2025-01-30,Demo,In-person,Khanh Do,Completed,10
ACT-00086,CUST-0306,,2025-11-18,WhatsApp,In-person,Khanh Do,Completed,5
ACT-00087,,LEAD-0194,2025-01-16,Demo,Phone,Giang Ho,Completed,60
ACT-00088,CUST-0284,,2024-10-23,Meeting,Email,Binh Tran,Interested,10
ACT-00089,,LEAD-0283,2025-03-07,WhatsApp,Email,Dung Pham,Completed,20
ACT-00090,,LEAD-0603,2024-11-19,Support Follow-up,Phone,An Nguyen,Completed,5
